age,sleep_hours,sleep_quality,stress_level,mood_rating,physical_activity,exercise_frequency,screen_time,study_hours,social_interaction,anxiety_level,satisfaction,risk
21,8.5,10,8,6,Moderate,3,4.0,6.9,8,6,6,Low Risk
54,6.4,6,8,5,High,5,5.4,8.7,3,10,3,Low Risk
48,7.3,7,9,2,Moderate,3,6.7,7.9,4,8,6,Low Risk
38,3.4,7,1,6,Moderate,5,6.3,11.5,3,1,9,Low Risk
37,5.2,10,2,2,High,7,4.0,9.5,3,3,1,Low Risk
58,6.4,8,10,4,Moderate,3,3.9,9.9,8,8,6,Low Risk
21,5.3,2,10,5,Moderate,2,7.5,12.6,5,2,8,Low Risk
50,7.8,1,8,2,Low,3,7.9,8.5,7,8,5,Low Risk
26,9.6,5,2,4,Low,6,8.5,7.3,1,4,10,Low Risk
21,5.2,6,1,3,High,1,9.1,8.9,6,3,7,Low Risk
42,5.6,7,1,9,Moderate,7,5.8,5.9,5,6,1,Low Risk
63,7.1,5,7,9,Moderate,3,4.9,7.2,10,10,6,Low Risk
52,9.1,6,9,1,Moderate,6,8.2,5.7,5,9,4,Low Risk
53,5.1,10,7,7,Low,6,6.9,7.8,2,5,2,Low Risk
51,7.1,4,3,7,High,6,3.5,5.7,7,1,10,Low Risk
54,9.3,5,8,4,Low,7,3.4,5.6,2,9,3,Low Risk
41,4.5,6,1,5,High,1,6.5,7.8,10,9,1,Low Risk
23,5.0,5,9,8,Moderate,4,5.1,6.7,4,7,3,Low Risk
57,6.2,10,9,4,Low,0,5.4,3.1,8,7,9,Low Risk
38,6.1,10,8,1,Low,2,7.6,4.1,7,6,6,Low Risk
41,7.9,6,9,4,High,0,7.0,4.7,5,1,9,Low Risk
34,7.1,5,6,3,Low,5,8.2,5.2,6,2,5,Low Risk
25,4.3,6,5,4,Low,4,1.6,7.8,2,2,2,Low Risk
61,7.5,2,4,3,Moderate,5,6.0,7.4,1,10,4,Low Risk
54,6.0,5,10,2,Moderate,1,6.9,9.1,8,1,2,Low Risk
47,8.6,3,7,10,Moderate,2,2.4,8.5,10,6,6,Low Risk
36,5.9,2,2,2,Low,5,4.2,9.1,9,4,3,Low Risk
56,5.9,1,10,8,High,6,3.8,8.2,4,1,10,Low Risk
43,7.6,6,1,8,Low,7,5.5,7.4,4,10,4,Low Risk
38,7.9,1,6,7,Low,0,8.8,9.2,4,1,4,Low Risk
38,7.4,7,2,10,Low,3,9.5,8.8,8,9,10,Low Risk
27,4.4,5,7,1,Low,0,3.9,7.8,7,8,6,Low Risk
21,7.6,4,5,4,Low,6,6.6,9.5,8,8,2,Low Risk
43,5.4,8,5,2,Low,0,6.6,2.3,10,2,5,Low Risk
59,7.1,6,7,6,Low,6,6.3,6.4,4,9,3,Low Risk
20,4.8,8,8,7,Moderate,1,6.3,6.4,7,6,8,Low Risk
58,7.4,8,4,9,High,0,6.1,9.3,6,5,6,Low Risk
56,5.7,1,10,4,Low,7,8.9,10.1,10,7,8,Low Risk
30,5.0,3,5,3,Low,3,7.7,4.1,4,4,10,Low Risk
47,7.8,6,2,10,High,3,3.4,9.8,2,3,8,Low Risk
24,7.1,10,1,7,High,5,7.1,4.7,4,3,4,Low Risk
53,5.9,2,3,8,Moderate,2,7.3,4.7,7,6,3,Low Risk
50,8.8,2,7,5,Low,5,6.1,6.5,10,7,6,Low Risk
34,6.2,10,6,5,Moderate,3,7.8,6.4,9,3,5,Low Risk
20,6.8,10,4,4,Low,2,5.9,3.9,1,3,4,Low Risk
